sample	age_months	apoe_isoform	sex
E3.2M.F	2	E3	F
E3.2M.M	2	E3	M
E3.14M.F	14	E3	F
E3.14M.M	14	E3	M
E4.2M.F	2	E4	F
E4.2M.M	2	E4	M
E4.14M.F	14	E4	F
E4.14M.M	14	E4	M
